accuracy,loss,val_accuracy,val_loss
0.3905184268951416,1.2774113416671753,0.7527173757553101,0.7269508242607117
0.75,0.8020472526550293,0.74048912525177,0.736112654209137
0.7510231733322144,0.6162601709365845,0.7880434989929199,0.5635251402854919
0.78125,0.47514012455940247,0.80298912525177,0.5489091277122498
0.7943383455276489,0.5321751236915588,0.801630437374115,0.5195976495742798
0.90625,0.3904445171356201,0.823369562625885,0.4949093163013458
0.827080488204956,0.4569936692714691,0.8478260636329651,0.41508662700653076
0.84375,0.45706412196159363,0.8288043737411499,0.44008171558380127
0.8424283862113953,0.4389820098876953,0.845108687877655,0.4051210880279541
0.84375,0.46435412764549255,0.8369565010070801,0.4108037054538727
0.8547067046165466,0.39671316742897034,0.813858687877655,0.4223262071609497
0.90625,0.2157897651195526,0.8288043737411499,0.3992592394351959
0.8707367181777954,0.35710078477859497,0.88451087474823,0.3370043933391571
0.78125,0.6226145029067993,0.885869562625885,0.33045053482055664
0.8703956604003906,0.3557799756526947,0.8804348111152649,0.3433743417263031
0.78125,0.48868054151535034,0.883152186870575,0.31792378425598145
0.8799454569816589,0.3388991057872772,0.8899456262588501,0.29060956835746765
0.84375,0.3312985599040985,0.89673912525177,0.287990003824234
0.8833560943603516,0.30624717473983765,0.8777173757553101,0.30050328373908997
0.84375,0.45693790912628174,0.883152186870575,0.3149107098579407
0.898703932762146,0.2969570457935333,0.9116848111152649,0.24725636839866638
0.9375,0.16869477927684784,0.89402174949646,0.26236435770988464
0.8990450501441956,0.2748771011829376,0.907608687877655,0.2588179111480713
0.9375,0.2398606389760971,0.9103260636329651,0.26220032572746277
0.9041609764099121,0.26126378774642944,0.89673912525177,0.2775030732154846
0.96875,0.22883547842502594,0.8926630616188049,0.28828707337379456
